Date,Status,Start Location,End Location,Flight Number,Departure Time,Arrival Time,Flight Duration,Departure Location,Arrival Location,Price,Website,URL
15/11/2024,FromUK,BHX,SOF,FR 6336,07:05,12:10,3h 5m,Birmingham,Sofia,£64.99,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2024-11-15&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=BHX&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2024-11-15&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=BHX&tpDestinationIata=SOF
16/11/2024,FromUK,BHX,SOF,FR 6336,07:45,12:50,3h 5m,Birmingham,Sofia,£62.24,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2024-11-16&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=BHX&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2024-11-16&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=BHX&tpDestinationIata=SOF
18/11/2024,FromUK,BHX,SOF,FR 6336,15:10,20:15,3h 5m,Birmingham,Sofia,£35.99,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2024-11-18&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=BHX&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2024-11-18&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=BHX&tpDestinationIata=SOF
22/11/2024,FromUK,BHX,SOF,FR 6336,07:05,12:10,3h 5m,Birmingham,Sofia,£31.99,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2024-11-22&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=BHX&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2024-11-22&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=BHX&tpDestinationIata=SOF
23/11/2024,FromUK,BHX,SOF,FR 6336,07:45,12:50,3h 5m,Birmingham,Sofia,£19.99,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2024-11-23&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=BHX&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2024-11-23&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=BHX&tpDestinationIata=SOF
25/11/2024,FromUK,BHX,SOF,FR 6336,15:10,20:15,3h 5m,Birmingham,Sofia,£40.80,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2024-11-25&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=BHX&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2024-11-25&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=BHX&tpDestinationIata=SOF
14/11/2024,FromUK,STN,SOF,FR 1730,08:05,13:00,2h 55m,London Stansted,Sofia,£360.10,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2024-11-14&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=STN&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2024-11-14&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN&tpDestinationIata=SOF
14/11/2024,FromUK,STN,SOF,FR 2690,17:10,22:05,2h 55m,London Stansted,Sofia,£127.06,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2024-11-14&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=STN&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2024-11-14&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN&tpDestinationIata=SOF
15/11/2024,FromUK,STN,SOF,FR 1730,09:15,14:10,2h 55m,London Stansted,Sofia,£82.99,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2024-11-15&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=STN&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2024-11-15&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN&tpDestinationIata=SOF
15/11/2024,FromUK,STN,SOF,FR 2690,15:15,20:10,2h 55m,London Stansted,Sofia,£62.82,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2024-11-15&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=STN&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2024-11-15&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN&tpDestinationIata=SOF
