Date,Status,Start Location,End Location,Flight Number,Departure Time,Arrival Time,Flight Duration,Departure Location,Arrival Location,Price,Website,URL
22/11/2024,FromUK,BHX,SOF,FR 6336,07:05,12:10,,Birmingham,Sofia,£44.99,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2024-11-22&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=BHX&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2024-11-22&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=BHX&tpDestinationIata=SOF
23/11/2024,FromUK,BHX,SOF,FR 6336,07:45,12:50,,Birmingham,Sofia,£38.23,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2024-11-23&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=BHX&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2024-11-23&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=BHX&tpDestinationIata=SOF
25/11/2024,FromUK,BHX,SOF,FR 6336,15:10,20:15,3h 5m,Birmingham,Sofia,£46.03,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2024-11-25&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=BHX&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2024-11-25&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=BHX&tpDestinationIata=SOF
29/11/2024,FromUK,BHX,SOF,FR 6336,07:05,12:10,,Birmingham,Sofia,£39.49,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2024-11-29&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=BHX&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2024-11-29&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=BHX&tpDestinationIata=SOF
30/11/2024,FromUK,BHX,SOF,FR 6336,07:45,12:50,3h 5m,Birmingham,Sofia,£34.79,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2024-11-30&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=BHX&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2024-11-30&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=BHX&tpDestinationIata=SOF
02/12/2024,FromUK,BHX,SOF,FR 6336,15:10,20:15,3h 5m,Birmingham,Sofia,£31.99,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2024-12-02&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=BHX&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2024-12-02&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=BHX&tpDestinationIata=SOF
19/11/2024,FromUK,STN,SOF,FR 2690,13:45,18:40,2h 55m,London Stansted,Sofia,£157.14,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2024-11-19&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=STN&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2024-11-19&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN&tpDestinationIata=SOF
20/11/2024,FromUK,STN,SOF,FR 1730,06:30,11:25,2h 55m,London Stansted,Sofia,£124.81,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2024-11-20&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=STN&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2024-11-20&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN&tpDestinationIata=SOF
21/11/2024,FromUK,STN,SOF,FR 1730,08:05,13:00,2h 55m,London Stansted,Sofia,£91.55,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2024-11-21&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=STN&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2024-11-21&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN&tpDestinationIata=SOF
21/11/2024,FromUK,STN,SOF,FR 2690,17:10,22:05,2h 55m,London Stansted,Sofia,£107.87,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2024-11-21&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=STN&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2024-11-21&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN&tpDestinationIata=SOF
22/11/2024,FromUK,STN,SOF,FR 1730,09:15,14:10,2h 55m,London Stansted,Sofia,£71.45,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2024-11-22&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=STN&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2024-11-22&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN&tpDestinationIata=SOF
22/11/2024,FromUK,STN,SOF,FR 2690,15:15,20:10,2h 55m,London Stansted,Sofia,£42.33,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2024-11-22&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=STN&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2024-11-22&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN&tpDestinationIata=SOF
22/11/2024,FromUK,STN,SOF,FR 9961,16:50,21:45,2h 55m,London Stansted,Sofia,£41.44,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2024-11-22&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=STN&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2024-11-22&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN&tpDestinationIata=SOF
22/11/2024,FromUK,STN,SOF,FR 9967,18:55,23:50,2h 55m,London Stansted,Sofia,£42.33,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2024-11-22&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=STN&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2024-11-22&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN&tpDestinationIata=SOF
23/11/2024,FromUK,STN,SOF,FR 1730,06:10,11:05,2h 55m,London Stansted,Sofia,£61.85,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2024-11-23&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=STN&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2024-11-23&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN&tpDestinationIata=SOF
23/11/2024,FromUK,STN,SOF,FR 2690,09:55,14:50,2h 55m,London Stansted,Sofia,£70.04,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2024-11-23&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=STN&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2024-11-23&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN&tpDestinationIata=SOF
23/11/2024,FromUK,STN,SOF,FR 9961,20:05,01:00,2h 55m,London Stansted,Sofia,£31.89,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2024-11-23&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=STN&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2024-11-23&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN&tpDestinationIata=SOF
24/11/2024,FromUK,STN,SOF,FR 1730,06:50,11:45,,London Stansted,Sofia,£32.34,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2024-11-24&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=STN&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2024-11-24&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN&tpDestinationIata=SOF
24/11/2024,FromUK,STN,SOF,FR 9967,15:35,20:30,,London Stansted,Sofia,£107.87,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2024-11-24&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=STN&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2024-11-24&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN&tpDestinationIata=SOF
24/11/2024,FromUK,STN,SOF,FR 9976,17:10,22:05,,London Stansted,Sofia,£70.45,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2024-11-24&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=STN&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2024-11-24&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN&tpDestinationIata=SOF
25/11/2024,FromUK,STN,SOF,FR 1730,06:55,11:50,2h 55m,London Stansted,Sofia,£47.05,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2024-11-25&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=STN&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2024-11-25&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN&tpDestinationIata=SOF
25/11/2024,FromUK,STN,SOF,FR 2690,08:55,13:50,2h 55m,London Stansted,Sofia,£46.04,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2024-11-25&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=STN&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2024-11-25&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN&tpDestinationIata=SOF
26/11/2024,FromUK,STN,SOF,FR 1730,08:15,13:10,2h 55m,London Stansted,Sofia,£45.00,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2024-11-26&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=STN&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2024-11-26&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN&tpDestinationIata=SOF
26/11/2024,FromUK,STN,SOF,FR 2690,13:45,18:40,2h 55m,London Stansted,Sofia,£72.99,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2024-11-26&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=STN&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2024-11-26&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN&tpDestinationIata=SOF
27/11/2024,FromUK,STN,SOF,FR 1730,06:30,11:25,2h 55m,London Stansted,Sofia,£50.08,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2024-11-27&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=STN&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2024-11-27&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN&tpDestinationIata=SOF
28/11/2024,FromUK,STN,SOF,FR 1730,08:05,13:00,2h 55m,London Stansted,Sofia,£60.49,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2024-11-28&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=STN&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2024-11-28&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN&tpDestinationIata=SOF
